# AUTO-GENERATED from /Users/caulisnomoto/caulis-repo/nimt-detection-service/src/main/java/jp/caulis/nimt/customfunction/CFVar.java
# format: variable|type|api|description
# partialKey=true は prefix_* として出力される

fa_cpuAbi2|String|All|ログイン検知の結果から取得したcpuAbi2の値
fa_dataCenterName|String|All|ログイン検知の結果から取得したdataCenterNameの値
fa_detectorTypeFace|Boolean|All|ログイン検知の結果から取得したdetectorTypeFaceの値
fa_device|String|All|ログイン検知の結果から取得したdeviceの値
fa_deviceMarketName|String|All|ログイン検知の結果から取得したdeviceMarketNameの値
fa_directIpAddress|String|All|ログイン検知の結果から取得したdirectIpAddressの値
fa_directorPlugin|Boolean|All|ログイン検知の結果から取得したdirectorPluginの値
fa_display|String|All|ログイン検知の結果から取得したdisplayの値
fa_duration|Float|All|ログイン検知の結果から取得したdurationの値
fa_error|String|All|ログイン検知の結果から取得したerrorの値
fa_failedCountGroupedByCookie|Float|All|ログイン検知の結果から取得したfailedCountGroupedByCookieの値
fa_failedCountGroupedByIpAddress|Float|All|ログイン検知の結果から取得したfailedCountGroupedByIpAddressの値
fa_fingerprint|String|All|ログイン検知の結果から取得したfingerprintの値
fa_firstVisitTimeStamp|Float|All|ログイン検知の結果から取得したfirstVisitTimeStampの値
fa_flashPlugin|Boolean|All|ログイン検知の結果から取得したflashPluginの値
fa_gearsPlugin|Boolean|All|ログイン検知の結果から取得したgearsPluginの値
fa_geoTimeZone|String|All|ログイン検知の結果から取得したgeoTimeZoneの値
fa_hardware|String|All|ログイン検知の結果から取得したhardwareの値
fa_headerForProxy|String|All|ログイン検知の結果から取得したheaderForProxyの値
fa_headers|String|All|ログイン検知の結果から取得したheadersの値
fa_hoppingDistanceByKiloMeter|Float|All|ログイン検知の結果から取得したhoppingDistanceByKiloMeterの値
fa_hoppingDurationBySecond|Float|All|ログイン検知の結果から取得したhoppingDurationBySecondの値
fa_host|String|All|ログイン検知の結果から取得したhostの値
fa_humidity|Float|All|ログイン検知の結果から取得したhumidityの値
fa_iccid|String|All|ログイン検知の結果から取得したiccidの値
fa_idState|Float|All|ログイン検知の結果から取得したidStateの値
fa_idfv|String|All|ログイン検知の結果から取得したidfvの値
fa_imei|String|All|ログイン検知の結果から取得したimeiの値
fa_imsi|String|All|ログイン検知の結果から取得したimsiの値
fa_industryAccountCountByCaulisCookie_*|Float|All|ログイン検知の結果から取得したindustryAccountCountByCaulisCookieの値
fa_isRegisteredUser|Boolean|All|ログイン検知の結果から取得したisRegisteredUserの値
fa_jailbreak|Boolean|All|ログイン検知の結果から取得したjailbreakの値
fa_javaPlugin|Boolean|All|ログイン検知の結果から取得したjavaPluginの値
fa_keyboardList|String|All|ログイン検知の結果から取得したkeyboardListの値
fa_label|String|All|ログイン検知の結果から取得したlabelの値
fa_language|String|All|ログイン検知の結果から取得したlanguageの値
fa_lastEcommerceOrderTimeStamp|Float|All|ログイン検知の結果から取得したlastEcommerceOrderTimeStampの値
fa_lastLocationSummary|String|All|ログイン検知の結果から取得したlastLocationSummaryの値
fa_latestAccessCountries_*|String|All|ログイン検知の結果から取得したlatestAccessCountriesの値
fa_latitude|Float|All|ログイン検知の結果から取得したlatitudeの値
fa_leastSubDivision|String|All|ログイン検知の結果から取得したleastSubDivisionの値
fa_localVersion|String|All|ログイン検知の結果から取得したlocalVersionの値
fa_loginSucceedCountByTerminal|Float|All|ログイン検知の結果から取得したloginSucceedCountByTerminalの値
fa_loginSuccessRateAtOtherSitesByCookie|Float|All|ログイン検知の結果から取得したloginSuccessRateAtOtherSitesByCookieの値
